season,week,pred_bottomk,actual_eliminated_list,match,bottom_k,score_col
5,4,['Floyd Mayweather Jr. '],['Floyd Mayweather Jr. '],True,1,adjusted_score
5,5,['Mark Cuban'],['Mark Cuban'],True,1,adjusted_score
5,6,['Jane Seymour'],['Sabrina Bryan'],False,1,adjusted_score
5,7,['Jane Seymour'],['Jane Seymour'],True,1,adjusted_score
5,8,['Cameron Mathison'],['Cameron Mathison'],True,1,adjusted_score
5,9,['Marie Osmond'],['Jennie Garth'],False,1,adjusted_score
5,10,['Marie Osmond'],,False,1,adjusted_score
6,1,['Monica Seles'],,False,1,adjusted_score
6,2,['Monica Seles'],"['Monica Seles', 'Penn Jillette']",True,1,adjusted_score
6,3,['Steve Guttenberg'],['Steve Guttenberg'],True,1,adjusted_score
6,4,['Adam Carolla'],['Adam Carolla'],True,1,adjusted_score
6,5,['Priscilla Presley'],['Priscilla Presley'],True,1,adjusted_score
6,6,['Marlee Matlin'],['Marlee Matlin'],True,1,adjusted_score
6,7,['Shannon Elizabeth'],['Shannon Elizabeth'],True,1,adjusted_score
6,8,['Marissa Jaret Winokur'],['Mario'],False,1,adjusted_score
6,9,['Marissa Jaret Winokur'],['Marissa Jaret Winokur'],True,1,adjusted_score
6,10,['Cristian de la Fuente'],,False,1,adjusted_score
7,1,['Jeffrey Ross'],"['Jeffrey Ross', 'Ted McGinley']",True,1,adjusted_score
7,2,['Kim Kardashian'],['Kim Kardashian'],True,1,adjusted_score
7,3,['Cloris Leachman'],,False,1,adjusted_score
7,4,['Rocco DiSpirito'],['Rocco DiSpirito'],True,1,adjusted_score
7,5,['Toni Braxton'],['Toni Braxton'],True,1,adjusted_score
7,6,['Cloris Leachman'],['Cloris Leachman'],True,1,adjusted_score
7,7,['Susan Lucci'],['Susan Lucci'],True,1,adjusted_score
7,8,['Maurice Greene'],['Maurice Greene'],True,1,adjusted_score
7,9,['Cody Linley'],['Cody Linley'],True,1,adjusted_score
7,10,['Warren Sapp'],,False,1,adjusted_score
8,1,['Steve Wozniak'],,False,1,adjusted_score
8,2,['Steve-O'],['Belinda Carlisle'],False,1,adjusted_score
8,3,['Steve Wozniak'],['Denise Richards'],False,1,adjusted_score
8,4,['Steve Wozniak'],"['Holly Madison', 'Steve Wozniak']",True,1,adjusted_score
8,5,['Steve-O'],['David Alan Grier'],False,1,adjusted_score
8,6,['Steve-O'],['Steve-O'],True,1,adjusted_score
8,7,['Lawrence Taylor'],['Lawrence Taylor'],True,1,adjusted_score
8,8,['Chuck Wicks'],['Chuck Wicks'],True,1,adjusted_score
8,9,['Ty Murray'],"[""Lil' Kim""]",False,1,adjusted_score
8,10,['Ty Murray'],['Ty Murray'],True,1,adjusted_score
8,11,['Melissa Rycroft'],,False,1,adjusted_score
9,1,['Ashley Hamiliton'],"['Ashley Hamiliton', 'Macy Gray']",True,1,adjusted_score
9,2,['Kathy Ireland'],['Kathy Ireland'],True,1,adjusted_score
9,3,['Michael Irvin'],['Debi Mazar'],False,1,adjusted_score
9,4,['Michael Irvin'],['Chuck Liddell'],False,1,adjusted_score
9,5,['Natalie Coughlin'],['Natalie Coughlin'],True,1,adjusted_score
9,6,['Melissa Joan Hart'],"['Louie Vito', 'Melissa Joan Hart']",True,1,adjusted_score
9,7,['Mark Dacascos'],"['Mark Dacascos', 'Michael Irvin']",True,1,adjusted_score
9,8,['Aaron Carter'],['Aaron Carter'],True,1,adjusted_score
9,9,['Joanna Krupa'],['Joanna Krupa'],True,1,adjusted_score
9,10,['Kelly Osbourne'],,False,1,adjusted_score
10,1,['Buzz Aldrin'],,False,1,adjusted_score
10,2,['Buzz Aldrin'],['Shannen Doherty'],False,1,adjusted_score
10,3,['Buzz Aldrin'],['Buzz Aldrin'],True,1,adjusted_score
10,4,['Aiden Turner'],['Aiden Turner'],True,1,adjusted_score
10,5,['Kate Gosselin'],['Kate Gosselin'],True,1,adjusted_score
10,6,['Jake Pavelka'],['Jake Pavelka'],True,1,adjusted_score
10,7,['Niecy Nash'],['Pamela Anderson'],False,1,adjusted_score
10,8,['Niecy Nash'],['Niecy Nash'],True,1,adjusted_score
10,9,['Chad Ochocinco'],['Chad Ochocinco'],True,1,adjusted_score
10,10,['Erin Andrews'],,False,1,adjusted_score
11,1,['David Hasselhoff'],['David Hasselhoff'],True,1,adjusted_score
11,2,['Michael Bolton'],['Michael Bolton'],True,1,adjusted_score
11,3,['Margaret Cho'],['Margaret Cho'],True,1,adjusted_score
11,4,['The Situation'],['The Situation'],True,1,adjusted_score
11,5,['Bristol Palin'],['Florence Henderson'],False,1,adjusted_score
11,6,['Kurt Warner'],['Audrina Patridge'],False,1,adjusted_score
11,7,['Bristol Palin'],['Rick Fox'],False,1,adjusted_score
11,8,['Kurt Warner'],['Kurt Warner'],True,1,adjusted_score
11,9,['Bristol Palin'],['Brandy'],False,1,adjusted_score
11,10,['Bristol Palin'],,False,1,adjusted_score
12,1,['Mike Catherwood'],,False,1,adjusted_score
12,2,['Mike Catherwood'],['Mike Catherwood'],True,1,adjusted_score
12,3,['Wendy Williams'],['Wendy Williams'],True,1,adjusted_score
12,4,['Kendra Wilkinson'],['Sugar Ray Leonard'],False,1,adjusted_score
12,5,['Petra Nemcova'],['Petra Nemcova'],True,1,adjusted_score
12,6,['Chris Jericho'],['Chris Jericho'],True,1,adjusted_score
12,7,['Kendra Wilkinson'],['Kendra Wilkinson'],True,1,adjusted_score
12,8,['Ralph Macchio'],['Romeo'],False,1,adjusted_score
12,9,['Ralph Macchio'],['Ralph Macchio'],True,1,adjusted_score
12,10,['Kirstie Alley'],,False,1,adjusted_score
13,1,['Metta World Peace (Ron)'],['Metta World Peace (Ron)'],True,1,adjusted_score
13,2,['Chaz Bono'],['Elisabetta Canalis'],False,1,adjusted_score
13,3,['Chaz Bono'],['Kristin Cavallari'],False,1,adjusted_score
13,4,['Chynna Phillips'],['Chynna Phillips'],True,1,adjusted_score
13,5,['Carson Kressley'],['Carson Kressley'],True,1,adjusted_score
13,6,['Chaz Bono'],['Chaz Bono'],True,1,adjusted_score
13,7,['David Arquette'],['David Arquette'],True,1,adjusted_score
13,8,['Nancy Grace'],['Nancy Grace'],True,1,adjusted_score
13,9,['Hope Solo'],['Hope Solo'],True,1,adjusted_score
13,10,['Ricki Lake'],,False,1,adjusted_score
14,1,['Martina Navratilova'],,False,1,adjusted_score
14,2,['Martina Navratilova'],['Martina Navratilova'],True,1,adjusted_score
14,3,['Jack Wagner'],['Jack Wagner'],True,1,adjusted_score
14,4,['Sherri Sheperd'],['Sherri Sheperd'],True,1,adjusted_score
14,5,['Gavin DeGraw'],['Gavin DeGraw'],True,1,adjusted_score
14,6,['Gladys Knight'],['Gladys Knight'],True,1,adjusted_score
14,7,['Melissa Gilbert'],['Jaleel White'],False,1,adjusted_score
14,8,['Melissa Gilbert'],"['Melissa Gilbert', 'Roshon Fegan']",True,1,adjusted_score
14,9,['Maria Menounos'],['Maria Menounos'],True,1,adjusted_score
14,10,['Donald Driver'],,False,1,adjusted_score
15,1,['Pamela Anderson'],['Pamela Anderson'],True,1,adjusted_score
15,2,['Bristol Palin'],['Joey Fatone'],False,1,adjusted_score
15,3,['Drew Lachey'],"['Drew Lachey', 'Helio Castroneves']",True,1,adjusted_score
15,4,['Kirstie Alley'],['Bristol Palin'],False,1,adjusted_score
15,5,['Kirstie Alley'],,False,1,adjusted_score
15,6,['Emmitt Smith'],['Sabrina Bryan'],False,1,adjusted_score
15,7,['Kirstie Alley'],,False,1,adjusted_score
15,8,['Kirstie Alley'],"['Gilles Marini', 'Kirstie Alley']",True,1,adjusted_score
15,9,['Emmitt Smith'],"['Apolo Anton Ohno', 'Emmitt Smith']",True,1,adjusted_score
15,10,['Shawn Johnson'],,False,1,adjusted_score
16,1,['D. L. Hughley'],,False,1,adjusted_score
16,2,['Dorothy Hamill'],,False,1,adjusted_score
16,3,['Wynonna Judd'],['Wynonna Judd'],True,1,adjusted_score
16,4,['Lisa Vanderpump'],['Lisa Vanderpump'],True,1,adjusted_score
16,5,['D. L. Hughley'],['D. L. Hughley'],True,1,adjusted_score
16,6,['Victor Ortiz'],['Victor Ortiz'],True,1,adjusted_score
16,7,['Andy Dick'],['Andy Dick'],True,1,adjusted_score
16,8,['Sean Lowe'],['Sean Lowe'],True,1,adjusted_score
16,9,['Ingo Rademacher'],['Ingo Rademacher'],True,1,adjusted_score
16,10,['Alexandra Raisman'],['Alexandra Raisman'],True,1,adjusted_score
17,1,['Bill Nye'],,False,1,adjusted_score
17,2,['Keyshawn Johnson'],['Keyshawn Johnson'],True,1,adjusted_score
17,3,['Bill Nye'],['Bill Nye'],True,1,adjusted_score
17,4,['Valerie Harper'],['Valerie Harper'],True,1,adjusted_score
17,5,['Leah Remini'],['Christina Milian'],False,1,adjusted_score
17,6,['Bill Engvall'],,False,1,adjusted_score
17,7,['Bill Engvall'],"['Nicole ""Snooki"" Polizzi']",False,1,adjusted_score
17,8,['Bill Engvall'],['Brant Daugherty'],False,1,adjusted_score
17,9,['Bill Engvall'],['Elizabeth Berkley Lauren'],False,1,adjusted_score
17,10,['Leah Remini'],['Leah Remini'],True,1,adjusted_score
17,11,['Bill Engvall'],['Bill Engvall'],True,1,adjusted_score
18,1,['Billy Dee Williams'],,False,1,adjusted_score
18,2,['Billy Dee Williams'],['Sean Avery'],False,1,adjusted_score
18,3,['Drew Carey'],,False,1,adjusted_score
18,4,['Candace Cameron Bure'],,False,1,adjusted_score
18,5,['Drew Carey'],['Cody Simpson'],False,1,adjusted_score
18,6,['Drew Carey'],['Drew Carey'],True,1,adjusted_score
18,7,['NeNe Leakes'],['NeNe Leakes'],True,1,adjusted_score
18,8,['Candace Cameron Bure'],['Danica McKellar'],False,1,adjusted_score
18,9,['Candace Cameron Bure'],['Charlie White'],False,1,adjusted_score
18,10,['Candace Cameron Bure'],['James Maslow'],False,1,adjusted_score
19,1,['Lolo Jones'],['Lolo Jones'],True,1,adjusted_score
19,2,['Tavis Smiley'],['Tavis Smiley'],True,1,adjusted_score
19,3,['Randy Couture'],['Randy Couture'],True,1,adjusted_score
19,4,['Michael Waltrip'],['Betsey Johnson'],False,1,adjusted_score
19,5,['Michael Waltrip'],,False,1,adjusted_score
19,6,['Tommy Chong'],['Jonathan Bennett'],False,1,adjusted_score
19,7,['Michael Waltrip'],['Antonio Sabato Jr.'],False,1,adjusted_score
19,8,['Michael Waltrip'],['Michael Waltrip'],True,1,adjusted_score
19,9,['Tommy Chong'],['Lea Thompson'],False,1,adjusted_score
19,10,['Tommy Chong'],['Tommy Chong'],True,1,adjusted_score
19,11,['Bethany Mota'],['Bethany Mota'],True,1,adjusted_score
20,1,['Charlotte McKinney'],,False,1,adjusted_score
20,2,['Chris Soules'],['Redfoo'],False,1,adjusted_score
20,3,['Charlotte McKinney'],['Charlotte McKinney'],True,1,adjusted_score
20,4,['Michael Sam'],['Michael Sam'],True,1,adjusted_score
20,5,['Robert Herjavec'],['Suzanne Somers'],False,1,adjusted_score
20,6,['Patti LaBelle'],['Patti LaBelle'],True,1,adjusted_score
20,7,['Robert Herjavec'],['Willow Shields'],False,1,adjusted_score
20,8,['Robert Herjavec'],"['Chris Soules', 'Robert Herjavec']",True,1,adjusted_score
20,9,['Noah Galloway'],['Nastia Liukin'],False,1,adjusted_score
20,10,['Noah Galloway'],,False,1,adjusted_score
21,1,['Chaka Khan'],,False,1,adjusted_score
21,2,['Chaka Khan'],"['Chaka Khan', 'Victor Espinoza']",True,1,adjusted_score
21,3,['Paula Deen'],,False,1,adjusted_score
21,4,['Gary Busey'],['Gary Busey'],True,1,adjusted_score
21,5,['Paula Deen'],,False,1,adjusted_score
21,6,['Paula Deen'],['Paula Deen'],True,1,adjusted_score
21,7,['Alek Skarlatos'],['Hayes Grier'],False,1,adjusted_score
21,8,['Andy Grammer'],['Andy Grammer'],True,1,adjusted_score
21,9,['Tamar Braxton'],['Alexa PenaVega'],False,1,adjusted_score
21,10,['Alek Skarlatos'],,False,1,adjusted_score
21,11,['Alek Skarlatos'],['Carlos PenaVega'],False,1,adjusted_score
22,1,['Geraldo Rivera'],,False,1,adjusted_score
22,2,['Geraldo Rivera'],['Geraldo Rivera'],True,1,adjusted_score
22,3,['Mischa Barton'],['Mischa Barton'],True,1,adjusted_score
22,4,['Marla Maples'],['Marla Maples'],True,1,adjusted_score
22,5,['Antonio Brown'],,False,1,adjusted_score
22,6,['Doug Flutie'],['Doug Flutie'],True,1,adjusted_score
22,7,['Kim Fields'],"['Kim Fields', 'Von Miller']",True,1,adjusted_score
22,8,['Wanya Morris'],['Jodie Sweetin'],False,1,adjusted_score
22,9,['Antonio Brown'],"['Antonio Brown', 'Wanya Morris']",True,1,adjusted_score
22,10,['Ginger Zee'],,False,1,adjusted_score
23,1,['Rick Perry'],,False,1,adjusted_score
23,2,['Rick Perry'],['Jake T. Austin'],False,1,adjusted_score
23,3,['Rick Perry'],['Rick Perry'],True,1,adjusted_score
23,4,['Babyface'],"['Babyface', 'Vanilla Ice']",True,1,adjusted_score
23,5,['Amber Rose'],,False,1,adjusted_score
23,6,['Amber Rose'],['Amber Rose'],True,1,adjusted_score
23,7,['Maureen McCormick'],['Maureen McCormick'],True,1,adjusted_score
23,8,['Marilu Henner'],['Ryan Lochte'],False,1,adjusted_score
23,9,['Marilu Henner'],['Marilu Henner'],True,1,adjusted_score
23,10,['Calvin Johnson Jr.'],['Terra Jole'],False,1,adjusted_score
23,11,['Jana Kramer'],['Jana Kramer'],True,1,adjusted_score
24,1,['Chris Kattan'],,False,1,adjusted_score
24,2,['Chris Kattan'],['Chris Kattan'],True,1,adjusted_score
24,3,['Charo'],['Charo'],True,1,adjusted_score
24,4,['Mr. T'],['Mr. T'],True,1,adjusted_score
24,5,['David Ross'],['Erika Jayne'],False,1,adjusted_score
24,6,['Nick Viall'],['Heather Morris'],False,1,adjusted_score
24,7,['Nick Viall'],"['Nancy Kerrigan', 'Nick Viall']",True,1,adjusted_score
24,8,['Bonner Bolton'],['Bonner Bolton'],True,1,adjusted_score
24,9,['David Ross'],['Simone Biles'],False,1,adjusted_score
24,10,['David Ross'],,False,1,adjusted_score
25,1,['Barbara Corcoran'],,False,1,adjusted_score
25,2,['Barbara Corcoran'],"['Barbara Corcoran', 'Debbie Gibson']",True,1,adjusted_score
25,3,['Sasha Pieterse'],,False,1,adjusted_score
25,4,['Derek Fisher'],['Derek Fisher'],True,1,adjusted_score
25,5,['Sasha Pieterse'],['Sasha Pieterse'],True,1,adjusted_score
25,6,['Nick Lachey'],['Nick Lachey'],True,1,adjusted_score
25,7,['Nikki Bella'],"['Nikki Bella', 'Vanessa Lachey']",True,1,adjusted_score
25,8,['Drew Scott'],['Terrell Owens'],False,1,adjusted_score
25,9,['Drew Scott'],['Victoria Arlen'],False,1,adjusted_score
25,10,['Drew Scott'],['Drew Scott'],True,1,adjusted_score
26,1,['Kareem Abdul-Jabbar'],"['Jamie Anderson', 'Johnny Damon']",False,1,adjusted_score
26,2,['Kareem Abdul-Jabbar'],"['Arike Ogunbowale', 'Kareem Abdul-Jabbar']",True,1,adjusted_score
26,3,['Jennie Finch Daigle'],"['Chris Mazdzer', 'Jennie Finch Daigle', 'Mirai Nagasu']",True,1,adjusted_score
26,4,['Tonya Harding'],,False,1,adjusted_score
27,1,['Joe Amabile'],['Nikki Glaser'],False,1,adjusted_score
27,2,['Joe Amabile'],['Danelle Umstead'],False,1,adjusted_score
27,3,['Joe Amabile'],['Nancy McKeon'],False,1,adjusted_score
27,4,['Joe Amabile'],['Tinashe'],False,1,adjusted_score
27,5,['Joe Amabile'],,False,1,adjusted_score
27,6,['Joe Amabile'],['Mary Lou Retton'],False,1,adjusted_score
27,7,['Joe Amabile'],"['DeMarcus Ware', 'John Schneider']",False,1,adjusted_score
27,8,['Joe Amabile'],"['Joe Amabile', 'Juan Pablo Di Pace']",True,1,adjusted_score
27,9,['Alexis Ren'],,False,1,adjusted_score
28,1,['Lamar Odom'],,False,1,adjusted_score
28,2,['Lamar Odom'],['Mary Wilson'],False,1,adjusted_score
28,3,['Lamar Odom'],,False,1,adjusted_score
28,4,['Lamar Odom'],['Lamar Odom'],True,1,adjusted_score
28,5,['Sean Spicer'],,False,1,adjusted_score
28,6,['Sean Spicer'],['Sailor Brinkley-Cook'],False,1,adjusted_score
28,7,['Sean Spicer'],['Karamo Brown'],False,1,adjusted_score
28,8,['Sean Spicer'],['Kate Flannery'],False,1,adjusted_score
28,9,['Sean Spicer'],['Sean Spicer'],True,1,adjusted_score
28,10,['James Van Der Beek'],['James Van Der Beek'],True,1,adjusted_score
28,11,['Lauren Alaina'],,False,1,adjusted_score
29,1,['Carole Baskin'],,False,1,adjusted_score
29,2,['Charles Oakley'],['Charles Oakley'],True,1,adjusted_score
29,3,['Carole Baskin'],['Carole Baskin'],True,1,adjusted_score
29,4,['Jesse Metcalfe'],['Anne Heche'],False,1,adjusted_score
29,5,['Jesse Metcalfe'],['Jesse Metcalfe'],True,1,adjusted_score
29,6,['Veron Davis'],['Veron Davis'],True,1,adjusted_score
29,7,['Monica Aldama'],['Monica Aldama'],True,1,adjusted_score
29,8,['Nelly'],['Chrishell Stause'],False,1,adjusted_score
29,9,['Nelly'],['AJ McLean'],False,1,adjusted_score
29,10,['Skai Jackson'],"['Johnny Weir', 'Skai Jackson']",True,1,adjusted_score
29,11,['Nelly'],,False,1,adjusted_score
30,1,['Martin Kove'],,False,1,adjusted_score
30,2,['Martin Kove'],['Martin Kove'],True,1,adjusted_score
30,3,['Cody Rigsby'],['Christine Chiu'],False,1,adjusted_score
30,4,['Brian Austin Green'],"['Brian Austin Green', 'Matt James']",True,1,adjusted_score
30,5,['Melanie C'],['Melanie C'],True,1,adjusted_score
30,6,['Kenya Moore'],['Kenya Moore'],True,1,adjusted_score
30,7,"['Mike ""The Miz"" Mizanin']","['Mike ""The Miz"" Mizanin']",True,1,adjusted_score
30,8,['Jimmie Allen'],"['Jimmie Allen', 'Olivia Jade']",True,1,adjusted_score
30,9,['Melora Hardin'],"['Melora Hardin', 'Suni Lee']",True,1,adjusted_score
30,10,['Cody Rigsby'],,False,1,adjusted_score
31,1,['Jason Lewis'],['Jason Lewis'],True,1,adjusted_score
31,2,['Cheryl Ladd'],['Teresa Giudice'],False,1,adjusted_score
31,3,['Vinny Guadagnino'],['Cheryl Ladd'],False,1,adjusted_score
31,4,['Sam Champion'],['Sam Champion'],True,1,adjusted_score
31,5,['Vinny Guadagnino'],['Joseph Baena'],False,1,adjusted_score
31,6,['Vinny Guadagnino'],['Jessie James Decker'],False,1,adjusted_score
31,7,['Vinny Guadagnino'],['Jordin Sparks'],False,1,adjusted_score
31,8,['Vinny Guadagnino'],"[""Heidi D'Amelio"", 'Vinny Guadagnino']",True,1,adjusted_score
31,9,['Trevor Donovan'],"['Daniel Durant', 'Trevor Donovan']",True,1,adjusted_score
31,10,['Shangela'],,False,1,adjusted_score
32,1,['Matt Walsh'],['Matt Walsh'],True,1,adjusted_score
32,2,['Mauricio Umansky'],['Jamie Lynn Spears'],False,1,adjusted_score
32,3,['Tyson Beckford'],['Tyson Beckford'],True,1,adjusted_score
32,4,['Barry Williams'],['Adrian Peterson'],False,1,adjusted_score
32,5,['Harry Jowsey'],['Mira Sorvino'],False,1,adjusted_score
32,6,['Harry Jowsey'],['Mauricio Umansky'],False,1,adjusted_score
32,7,['Harry Jowsey'],['Lele Pons'],False,1,adjusted_score
32,8,['Harry Jowsey'],['Barry Williams'],False,1,adjusted_score
32,9,['Harry Jowsey'],['Harry Jowsey'],True,1,adjusted_score
32,10,['Alyson Hannigan'],,False,1,adjusted_score
32,11,['Alyson Hannigan'],,False,1,adjusted_score
33,1,['Eric Roberts'],,False,1,adjusted_score
33,2,['Reginald VelJohnson'],"['Anna Delvey', 'Tori Spelling']",False,1,adjusted_score
33,3,['Reginald VelJohnson'],"['Eric Roberts', 'Reginald VelJohnson']",True,1,adjusted_score
33,4,['Dwight Howard\xa0'],['Brooks Nader'],False,1,adjusted_score
33,5,['Dwight Howard\xa0'],['Phaedra Parks'],False,1,adjusted_score
33,6,['Ilona Maher'],['Jenn Tran'],False,1,adjusted_score
33,7,['Dwight Howard\xa0'],['Dwight Howard\xa0'],True,1,adjusted_score
33,8,['Danny Amendola'],,False,1,adjusted_score
33,9,['Danny Amendola'],,False,1,adjusted_score
34,1,['Corey Feldman'],,False,1,adjusted_score
34,2,['Corey Feldman'],"['Baron Davis', 'Corey Feldman']",True,1,adjusted_score
34,3,['Andy Richter'],['Lauren Jauregui'],False,1,adjusted_score
34,4,['Andy Richter'],['Hilaria Baldwin'],False,1,adjusted_score
34,5,['Andy Richter'],,False,1,adjusted_score
34,6,['Andy Richter'],['Scott Hoying'],False,1,adjusted_score
34,7,['Andy Richter'],['Jen Affleck'],False,1,adjusted_score
34,8,['Andy Richter'],['Danielle Fishel'],False,1,adjusted_score
34,9,['Andy Richter'],['Andy Richter'],True,1,adjusted_score
34,10,['Elaine Hendrix'],['Whitney Leavitt'],False,1,adjusted_score
34,11,['Elaine Hendrix'],,False,1,adjusted_score
1,1,"['Evander Holyfield', 'Trista Sutter']",,False,2,adjusted_score
1,2,"['Trista Sutter', 'Evander Holyfield']",['Trista Sutter'],True,2,adjusted_score
1,3,"['Evander Holyfield', 'Joey McIntyre']",['Evander Holyfield'],True,2,adjusted_score
1,4,"['Rachel Hunter', ""John O'Hurley""]",['Rachel Hunter'],True,2,adjusted_score
1,5,"['Joey McIntyre', 'Kelly Monaco']",,False,2,adjusted_score
1,6,"[""John O'Hurley"", 'Kelly Monaco']",,False,2,adjusted_score
2,1,"['Kenny Mayne', 'Master P']",['Kenny Mayne'],True,2,adjusted_score
2,2,"[""Tatum O'Neal"", 'Master P']","[""Tatum O'Neal""]",True,2,adjusted_score
2,3,"['Master P', 'Giselle Fernandez']",['Giselle Fernandez'],True,2,adjusted_score
2,4,"['Master P', 'George Hamilton']",['Master P'],True,2,adjusted_score
2,5,"['Tia Carrere', 'Jerry Rice']",['Tia Carrere'],True,2,adjusted_score
2,6,"['George Hamilton', 'Jerry Rice']",['George Hamilton'],True,2,adjusted_score
2,7,"['Jerry Rice', 'Lisa Rinna']",['Lisa Rinna'],True,2,adjusted_score
2,8,"['Jerry Rice', 'Stacy Keibler']",,False,2,adjusted_score
3,1,"['Tucker Carlson', 'Jerry Springer']",['Tucker Carlson'],True,2,adjusted_score
3,2,"['Jerry Springer', 'Shanna Moakler']",['Shanna Moakler'],True,2,adjusted_score
3,3,"['Harry Hamlin', 'Jerry Springer']",['Harry Hamlin'],True,2,adjusted_score
3,4,"['Sara Evans', 'Vivica A. Fox']",['Vivica A. Fox'],True,2,adjusted_score
3,5,"['Jerry Springer', 'Sara Evans']",['Willa Ford'],False,2,adjusted_score
3,6,"['Jerry Springer', 'Monique Coleman']",,False,2,adjusted_score
3,7,"['Jerry Springer', 'Monique Coleman']",['Jerry Springer'],True,2,adjusted_score
3,8,"['Monique Coleman', 'Joey Lawrence']",['Monique Coleman'],True,2,adjusted_score
3,9,"['Joey Lawrence', 'Emmitt Smith']",,False,2,adjusted_score
3,10,"['Emmitt Smith', 'Mario Lopez']",,False,2,adjusted_score
4,1,"['Clyde Drexler', 'Billy Ray Cyrus']",,False,2,adjusted_score
4,2,"['Clyde Drexler', 'Paulina Porizkova']",['Paulina Porizkova'],True,2,adjusted_score
4,3,"['Clyde Drexler', 'Shandi Finnessey']",['Shandi Finnessey'],True,2,adjusted_score
4,4,"['Leeza Gibbons', 'Clyde Drexler']",['Leeza Gibbons'],True,2,adjusted_score
4,5,"['Clyde Drexler', 'Billy Ray Cyrus']",['Clyde Drexler'],True,2,adjusted_score
4,6,"['John Ratzenberger', 'Heather Mills']",['Heather Mills'],True,2,adjusted_score
4,7,"['Billy Ray Cyrus', 'John Ratzenberger']",['John Ratzenberger'],True,2,adjusted_score
4,8,"['Billy Ray Cyrus', 'Ian Ziering']",['Billy Ray Cyrus'],True,2,adjusted_score
4,9,"['Ian Ziering', 'Laila Ali']",['Ian Ziering'],True,2,adjusted_score
4,10,"['Laila Ali', 'Joey Fatone']",,False,2,adjusted_score
5,1,"['Josie Maran', 'Wayne Newton']",['Josie Maran'],True,2,adjusted_score
5,2,"['Wayne Newton', 'Albert Reed']",['Albert Reed'],True,2,adjusted_score
5,3,"['Wayne Newton', 'Mark Cuban']",['Wayne Newton'],True,2,adjusted_score
5,4,"['Floyd Mayweather Jr. ', 'Mark Cuban']",['Floyd Mayweather Jr. '],True,2,adjusted_score
5,5,"['Mark Cuban', 'Marie Osmond']",['Mark Cuban'],True,2,adjusted_score
5,6,"['Jane Seymour', 'Sabrina Bryan']",['Sabrina Bryan'],True,2,adjusted_score
5,7,"['Jane Seymour', 'Marie Osmond']",['Jane Seymour'],True,2,adjusted_score
5,8,"['Cameron Mathison', 'Marie Osmond']",['Cameron Mathison'],True,2,adjusted_score
5,9,"['Marie Osmond', 'Jennie Garth']",['Jennie Garth'],True,2,adjusted_score
5,10,"['Marie Osmond', 'Helio Castroneves']",,False,2,adjusted_score
6,1,"['Monica Seles', 'Adam Carolla']",,False,2,adjusted_score
